Goaltender,IceX,IceY,Save
Brown,48.86043813,33.53793222,Yes
Brown,52.52284927,28.01066575,Yes
Brown,31.54722182,29.19507999,Yes
Brown,21.89177426,40.24961294,Yes
Brown,32.87900769,28.4054705,Yes
Brown,46.86275932,41.03922243,Yes
Brown,44.53213405,18.93015655,No
Brown,4.911504425,38.2755892,Yes
Brown,39.53793704,46.96129365,Yes
Brown,42.53445524,43.01324617,Yes
Brown,31.54722182,29.58988474,Yes
Brown,42.53445524,44.19766042,Yes
Brown,41.86856231,39.85480819,Yes
Brown,29.21659655,37.4859797,Yes
Brown,36.54141883,20.50937554,Yes
